ID Messaggio,Versione,Nome Salone,Cellulare,Rating,Caratteri,Data Invio,Risposta,Data Risposta,Note
BREVE001,breve,TRISCELE Beauty,+393275464407,4.8,158,2026-06-08 15:48,,,,
BREVE002,breve,Esthena Nails e Benessere,+393335469382,4.7,158,2026-06-08 15:48,,,,
BREVE003,breve,Il Sogno della Bellezza - Centro Estetico a Catania,+393453938087,5,158,2026-06-08 15:48,,,,
BREVE004,breve,Il Sogno di ogni donna | Centro estetico Catania,+393714480449,4.6,158,2026-06-08 15:48,,,,
BREVE005,breve,Glamour Sole e Bellezza,+393471079312,4.1,158,2026-06-08 15:48,,,,
MEDIO001,medio,TRISCELE Beauty,+393275464407,4.8,185,2026-06-08 15:48,,,,
MEDIO002,medio,Esthena Nails e Benessere,+393335469382,4.7,185,2026-06-08 15:48,,,,
MEDIO003,medio,Il Sogno della Bellezza - Centro Estetico a Catania,+393453938087,5,185,2026-06-08 15:48,,,,
MEDIO004,medio,Il Sogno di ogni donna | Centro estetico Catania,+393714480449,4.6,185,2026-06-08 15:48,,,,
MEDIO005,medio,Glamour Sole e Bellezza,+393471079312,4.1,185,2026-06-08 15:48,,,,
DETTAGLIATO001,dettagliato,TRISCELE Beauty,+393275464407,4.8,248,2026-06-08 15:48,,,,
DETTAGLIATO002,dettagliato,Esthena Nails e Benessere,+393335469382,4.7,248,2026-06-08 15:48,,,,
DETTAGLIATO003,dettagliato,Il Sogno della Bellezza - Centro Estetico a Catania,+393453938087,5,248,2026-06-08 15:48,,,,
DETTAGLIATO004,dettagliato,Il Sogno di ogni donna | Centro estetico Catania,+393714480449,4.6,248,2026-06-08 15:48,,,,
DETTAGLIATO005,dettagliato,Glamour Sole e Bellezza,+393471079312,4.1,248,2026-06-08 15:48,,,,
