ID Messaggio,Nome Salone,Cellulare,Rating,Data Invio,Risposta,Data Risposta,Prezzo Scelto,Note
PRICE001,TRISCELE Beauty,+393275464407,4.8,2026-06-08 15:14,,,,,
PRICE002,Esthena Nails e Benessere,+393335469382,4.7,2026-06-08 15:14,,,,,
PRICE003,Il Sogno della Bellezza - Centro Estetico a Catania,+393453938087,5,2026-06-08 15:14,,,,,
PRICE004,Il Sogno di ogni donna | Centro estetico Catania,+393714480449,4.6,2026-06-08 15:14,,,,,
PRICE005,Bioperla - Centro Estetico a Catania,+393395929992,5,2026-06-08 15:14,,,,,
PRICE006,Elite Estetica,+393427675185,4.8,2026-06-08 15:14,,,,,
PRICE007,Om Estetica,+393928407565,5,2026-06-08 15:14,,,,,
PRICE008,MIDA nail care,+393290646988,4.9,2026-06-08 15:14,,,,,
PRICE009,WOW BEAUTY BAR: Centro estetico & Academia di Tanya & Olga Sindeeva,+393355405415,4.9,2026-06-08 15:14,,,,,
PRICE010,Nail Salon di Ylenia Torrisi,+393932779198,5,2026-06-08 15:14,,,,,
PRICE011,GV Place - Rinascente,+393312942906,4.5,2026-06-08 15:14,,,,,
PRICE012,VyBi Nails Catania di Viviana Barbagallo,+393270325417,4.6,2026-06-08 15:14,,,,,
PRICE013,Blossom beauty & spa,+393477494303,4.6,2026-06-08 15:14,,,,,
PRICE014,Coquette Wellness & Beauty - Catania,+393899923613,4.8,2026-06-08 15:14,,,,,
PRICE015,Centro Valclè Beauty & Pilates,+393477090169,4.9,2026-06-08 15:14,,,,,
